"註記","號次","姓名","性別","得票數","得票率","推薦之政黨","縣市","鄉鎮市區"
"12111","◎",1,"黃偉哲","男",6643,"40.09%","民主進步黨","臺南市","安定區"
"12210","",2,"高思博","男",4752,"28.67%","中國國民黨","臺南市","安定區"
"1232","",3,"林義豐","男",1576,"9.51%","無","臺南市","安定區"
"1242","",4,"許忠信","男",899,"5.42%","無","臺南市","安定區"
"1252","",5,"陳永和","男",1997,"12.05%","無","臺南市","安定區"
"1262","",6,"蘇煥智","男",705,"4.25%","無","臺南市","安定區"
"1272","◎",1,"黃偉哲","男",1521,"37.37%","民主進步黨","臺南市","山上區"
"1282","",2,"高思博","男",1244,"30.57%","中國國民黨","臺南市","山上區"
"1292","",3,"林義豐","男",467,"11.47%","無","臺南市","山上區"
"1302","",4,"許忠信","男",217,"5.33%","無","臺南市","山上區"
"131","",5,"陳永和","男",423,"10.39%","無","臺南市","山上區"
"132","",6,"蘇煥智","男",198,"4.86%","無","臺南市","山上區"
"133","◎",1,"黃偉哲","男",2656,"32.54%","民主進步黨","臺南市","玉井區"
"134","",2,"高思博","男",3442,"42.17%","中國國民黨","臺南市","玉井區"
"135","",3,"林義豐","男",665,"8.15%","無","臺南市","玉井區"
"136","",4,"許忠信","男",302,"3.70%","無","臺南市","玉井區"
"137","",5,"陳永和","男",632,"7.74%","無","臺南市","玉井區"
"138","",6,"蘇煥智","男",465,"5.70%","無","臺南市","玉井區"
"139","◎",1,"黃偉哲","男",1576,"28.48%","民主進步黨","臺南市","楠西區"
"140","",2,"高思博","男",2687,"48.56%","中國國民黨","臺南市","楠西區"
"141","",3,"林義豐","男",400,"7.23%","無","臺南市","楠西區"
"142","",4,"許忠信","男",218,"3.94%","無","臺南市","楠西區"
"143","",5,"陳永和","男",353,"6.38%","無","臺南市","楠西區"
"144","",6,"蘇煥智","男",299,"5.40%","無","臺南市","楠西區"
"145","◎",1,"黃偉哲","男",1792,"33.17%","民主進步黨","臺南市","南化區"
"146","",2,"高思博","男",2229,"41.26%","中國國民黨","臺南市","南化區"
"147","",3,"林義豐","男",474,"8.77%","無","臺南市","南化區"
"148","",4,"許忠信","男",173,"3.20%","無","臺南市","南化區"
"149","",5,"陳永和","男",402,"7.44%","無","臺南市","南化區"
"150","",6,"蘇煥智","男",332,"6.15%","無","臺南市","南化區"
"151","◎",1,"黃偉哲","男",1233,"41.80%","民主進步黨","臺南市","左鎮區"
"152","",2,"高思博","男",939,"31.83%","中國國民黨","臺南市","左鎮區"
"153","",3,"林義豐","男",195,"6.61%","無","臺南市","左鎮區"
"154","",4,"許忠信","男",211,"7.15%","無","臺南市","左鎮區"
"155","",5,"陳永和","男",221,"7.49%","無","臺南市","左鎮區"
"156","",6,"蘇煥智","男",151,"5.12%","無","臺南市","左鎮區"
"157","◎",1,"黃偉哲","男",14717,"36.41%","民主進步黨","臺南市","仁德區"
"158","",2,"高思博","男",12883,"31.88%","中國國民黨","臺南市","仁德區"
"159","",3,"林義豐","男",3522,"8.71%","無","臺南市","仁德區"
"160","",4,"許忠信","男",1537,"3.80%","無","臺南市","仁德區"
"161","",5,"陳永和","男",5911,"14.63%","無","臺南市","仁德區"
"162","",6,"蘇煥智","男",1846,"4.57%","無","臺南市","仁德區"
"163","◎",1,"黃偉哲","男",13413,"37.57%","民主進步黨","臺南市","歸仁區"
"164","",2,"高思博","男",9264,"25.95%","中國國民黨","臺南市","歸仁區"
"165","",3,"林義豐","男",2942,"8.24%","無","臺南市","歸仁區"
"166","",4,"許忠信","男",1292,"3.62%","無","臺南市","歸仁區"
"167","",5,"陳永和","男",7202,"20.17%","無","臺南市","歸仁區"
"168","",6,"蘇煥智","男",1588,"4.45%","無","臺南市","歸仁區"
"169","◎",1,"黃偉哲","男",7670,"37.11%","民主進步黨","臺南市","關廟區"
"170","",2,"高思博","男",5323,"25.76%","中國國民黨","臺南市","關廟區"
"171","",3,"林義豐","男",1580,"7.65%","無","臺南市","關廟區"
"172","",4,"許忠信","男",573,"2.77%","無","臺南市","關廟區"
"173","",5,"陳永和","男",4778,"23.12%","無","臺南市","關廟區"
"174","",6,"蘇煥智","男",742,"3.59%","無","臺南市","關廟區"
"175","◎",1,"黃偉哲","男",814,"29.24%","民主進步黨","臺南市","龍崎區"
"176","",2,"高思博","男",676,"24.28%","中國國民黨","臺南市","龍崎區"
"177","",3,"林義豐","男",180,"6.47%","無","臺南市","龍崎區"
"178","",4,"許忠信","男",82,"2.95%","無","臺南市","龍崎區"
"179","",5,"陳永和","男",917,"32.94%","無","臺南市","龍崎區"
"180","",6,"蘇煥智","男",115,"4.13%","無","臺南市","龍崎區"
"181","◎",1,"黃偉哲","男",38762,"34.70%","民主進步黨","臺南市","永康區"
"182","",2,"高思博","男",38892,"34.81%","中國國民黨","臺南市","永康區"
"183","",3,"林義豐","男",9587,"8.58%","無","臺南市","永康區"
"184","",4,"許忠信","男",4676,"4.19%","無","臺南市","永康區"
"185","",5,"陳永和","男",15007,"13.43%","無","臺南市","永康區"
"186","",6,"蘇煥智","男",4787,"4.29%","無","臺南市","永康區"
"187","◎",1,"黃偉哲","男",28636,"32.27%","民主進步黨","臺南市","在東區"
"188","",2,"高思博","男",36041,"40.61%","中國國民黨","臺南市","在東區"
"189","",3,"林義豐","男",5457,"6.15%","無","臺南市","在東區"
"190","",4,"許忠信","男",3522,"3.97%","無","臺南市","在東區"
"191","",5,"陳永和","男",11681,"13.16%","無","臺南市","在東區"
"192","",6,"蘇煥智","男",3410,"3.84%","無","臺南市","在東區"
"193","◎",1,"黃偉哲","男",25068,"39.35%","民主進步黨","臺南市","在南區"
"194","",2,"高思博","男",21036,"33.02%","中國國民黨","臺南市","在南區"
"195","",3,"林義豐","男",5430,"8.52%","無","臺南市","在南區"
"196","",4,"許忠信","男",2585,"4.06%","無","臺南市","在南區"
"197","",5,"陳永和","男",7661,"12.03%","無","臺南市","在南區"
"198","",6,"蘇煥智","男",1925,"3.02%","無","臺南市","在南區"
"199","◎",1,"黃偉哲","男",22694,"34.49%","民主進步黨","臺南市","在北區"
"200","",2,"高思博","男",24690,"37.52%","中國國民黨","臺南市","在北區"
"201","",3,"林義豐","男",4510,"6.85%","無","臺南市","在北區"
"202","",4,"許忠信","男",2851,"4.33%","無","臺南市","在北區"
"203","",5,"陳永和","男",8547,"12.99%","無","臺南市","在北區"
"204","",6,"蘇煥智","男",2515,"3.82%","無","臺南市","在北區"
"205","◎",1,"黃偉哲","男",36754,"38.42%","民主進步黨","臺南市","安南區"
"206","",2,"高思博","男",27865,"29.13%","中國國民黨","臺南市","安南區"
"207","",3,"林義豐","男",9225,"9.64%","無","臺南市","安南區"
"208","",4,"許忠信","男",4807,"5.02%","無","臺南市","安南區"
"209","",5,"陳永和","男",13357,"13.96%","無","臺南市","安南區"
"210","",6,"蘇煥智","男",3655,"3.82%","無","臺南市","安南區"
"211","◎",1,"黃偉哲","男",10276,"34.24%","民主進步黨","臺南市","安平區"
"212","",2,"高思博","男",11056,"36.84%","中國國民黨","臺南市","安平區"
"213","",3,"林義豐","男",2479,"8.26%","無","臺南市","安平區"
"214","",4,"許忠信","男",1034,"3.45%","無","臺南市","安平區"
"215","",5,"陳永和","男",4075,"13.58%","無","臺南市","安平區"
"216","",6,"蘇煥智","男",1088,"3.63%","無","臺南市","安平區"
"217","◎",1,"黃偉哲","男",14846,"37.54%","民主進步黨","臺南市","中西區"
"218","",2,"高思博","男",13835,"34.98%","中國國民黨","臺南市","中西區"
"219","",3,"林義豐","男",2552,"6.45%","無","臺南市","中西區"
"220","",4,"許忠信","男",1859,"4.70%","無","臺南市","中西區"
"221","",5,"陳永和","男",4904,"12.40%","無","臺南市","中西區"
"222","",6,"蘇煥智","男",1556,"3.93%","無","臺南市","中西區"
"1100","",1,"鄺麗貞","女",994,"1.78%","無","臺東縣","臺東市"
"240","",2,"劉櫂豪","男",22681,"40.72%","民主進步黨","臺東縣","臺東市"
"339","",3,"黃裕斌","男",282,"0.51%","無","臺東縣","臺東市"
"430","",4,"彭權國","男",525,"0.94%","無","臺東縣","臺東市"
"529","◎",5,"饒慶鈴","女",31213,"56.04%","中國國民黨","臺東縣","臺東市"
"628","",1,"鄺麗貞","女",251,"3.41%","無","臺東縣","成功鎮"
"728","",2,"劉櫂豪","男",2536,"34.41%","民主進步黨","臺東縣","成功鎮"
"823","",3,"黃裕斌","男",43,"0.58%","無","臺東縣","成功鎮"
"923","",4,"彭權國","男",59,"0.80%","無","臺東縣","成功鎮"
"1021","◎",5,"饒慶鈴","女",4481,"60.80%","中國國民黨","臺東縣","成功鎮"
"1121","",1,"鄺麗貞","女",120,"2.37%","無","臺東縣","關山鎮"
"1221","",2,"劉櫂豪","男",1779,"35.12%","民主進步黨","臺東縣","關山鎮"
"1321","",3,"黃裕斌","男",28,"0.55%","無","臺東縣","關山鎮"
"1421","",4,"彭權國","男",44,"0.87%","無","臺東縣","關山鎮"
"1518","◎",5,"饒慶鈴","女",3094,"61.09%","中國國民黨","臺東縣","關山鎮"
"1614","",1,"鄺麗貞","女",227,"2.36%","無","臺東縣","卑南鄉"
"1711","",2,"劉櫂豪","男",3583,"37.28%","民主進步黨","臺東縣","卑南鄉"
"1810","",3,"黃裕斌","男",37,"0.39%","無","臺東縣","卑南鄉"
"1910","",4,"彭權國","男",64,"0.67%","無","臺東縣","卑南鄉"
"2010","◎",5,"饒慶鈴","女",5699,"59.30%","中國國民黨","臺東縣","卑南鄉"
"2116","",1,"鄺麗貞","女",134,"2.93%","無","臺東縣","鹿野鄉"
"2212","",2,"劉櫂豪","男",1992,"43.50%","民主進步黨","臺東縣","鹿野鄉"
"2311","",3,"黃裕斌","男",33,"0.72%","無","臺東縣","鹿野鄉"
"2410","",4,"彭權國","男",35,"0.76%","無","臺東縣","鹿野鄉"
"2510","◎",5,"饒慶鈴","女",2385,"52.09%","中國國民黨","臺東縣","鹿野鄉"
"2610","",1,"鄺麗貞","女",103,"2.32%","無","臺東縣","池上鄉"
"279","",2,"劉櫂豪","男",1704,"38.40%","民主進步黨","臺東縣","池上鄉"
"289","",3,"黃裕斌","男",23,"0.52%","無","臺東縣","池上鄉"
"299","",4,"彭權國","男",19,"0.43%","無","臺東縣","池上鄉"
"309","◎",5,"饒慶鈴","女",2588,"58.33%","中國國民黨","臺東縣","池上鄉"
"3115","",1,"鄺麗貞","女",160,"3.40%","無","臺東縣","東河鄉"
"3212","",2,"劉櫂豪","男",1687,"35.83%","民主進步黨","臺東縣","東河鄉"
"3310","",3,"黃裕斌","男",31,"0.66%","無","臺東縣","東河鄉"
"349","",4,"彭權國","男",48,"1.02%","無","臺東縣","東河鄉"
"359","◎",5,"饒慶鈴","女",2782,"59.09%","中國國民黨","臺東縣","東河鄉"
"369","",1,"鄺麗貞","女",186,"4.79%","無","臺東縣","長濱鄉"
"378","",2,"劉櫂豪","男",1293,"33.32%","民主進步黨","臺東縣","長濱鄉"
"388","",3,"黃裕斌","男",25,"0.64%","無","臺東縣","長濱鄉"
"398","",4,"彭權國","男",29,"0.75%","無","臺東縣","長濱鄉"
"407","◎",5,"饒慶鈴","女",2347,"60.49%","中國國民黨","臺東縣","長濱鄉"
"4114","",1,"鄺麗貞","女",164,"2.46%","無","臺東縣","麻里鄉"
"4210","",2,"劉櫂豪","男",2184,"32.75%","民主進步黨","臺東縣","麻里鄉"
"436","",3,"黃裕斌","男",33,"0.49%","無","臺東縣","麻里鄉"
"446","",4,"彭權國","男",37,"0.55%","無","臺東縣","麻里鄉"
"456","◎",5,"饒慶鈴","女",4251,"63.74%","中國國民黨","臺東縣","麻里鄉"
"466","",1,"鄺麗貞","女",126,"3.47%","無","臺東縣","大武鄉"
"476","",2,"劉櫂豪","男",1172,"32.27%","民主進步黨","臺東縣","大武鄉"
"486","",3,"黃裕斌","男",23,"0.63%","無","臺東縣","大武鄉"
"496","",4,"彭權國","男",29,"0.80%","無","臺東縣","大武鄉"
"506","◎",5,"饒慶鈴","女",2282,"62.83%","中國國民黨","臺東縣","大武鄉"
"5113","",1,"鄺麗貞","女",48,"2.06%","無","臺東縣","綠島鄉"
"5210","",2,"劉櫂豪","男",719,"30.81%","民主進步黨","臺東縣","綠島鄉"
"536","",3,"黃裕斌","男",5,"0.21%","無","臺東縣","綠島鄉"
"546","",4,"彭權國","男",26,"1.11%","無","臺東縣","綠島鄉"
"556","◎",5,"饒慶鈴","女",1536,"65.81%","中國國民黨","臺東縣","綠島鄉"
"566","",1,"鄺麗貞","女",68,"3.06%","無","臺東縣","海端鄉"
"576","",2,"劉櫂豪","男",467,"21.04%","民主進步黨","臺東縣","海端鄉"
"586","",3,"黃裕斌","男",9,"0.41%","無","臺東縣","海端鄉"
"596","",4,"彭權國","男",15,"0.68%","無","臺東縣","海端鄉"
"606","◎",5,"饒慶鈴","女",1661,"74.82%","中國國民黨","臺東縣","海端鄉"
"6112","",1,"鄺麗貞","女",104,"4.58%","無","臺東縣","延平鄉"
"629","",2,"劉櫂豪","男",460,"20.25%","民主進步黨","臺東縣","延平鄉"
"635","",3,"黃裕斌","男",20,"0.88%","無","臺東縣","延平鄉"
"645","",4,"彭權國","男",11,"0.48%","無","臺東縣","延平鄉"
"655","◎",5,"饒慶鈴","女",1677,"73.81%","中國國民黨","臺東縣","延平鄉"
"665","",1,"鄺麗貞","女",60,"2.45%","無","臺東縣","金峰鄉"
"675","",2,"劉櫂豪","男",606,"24.75%","民主進步黨","臺東縣","金峰鄉"
"685","",3,"黃裕斌","男",6,"0.25%","無","臺東縣","金峰鄉"
"695","",4,"彭權國","男",6,"0.25%","無","臺東縣","金峰鄉"
"705","◎",5,"饒慶鈴","女",1770,"72.30%","中國國民黨","臺東縣","金峰鄉"
"7112","",1,"鄺麗貞","女",97,"3.93%","無","臺東縣","達仁鄉"
"729","",2,"劉櫂豪","男",641,"25.95%","民主進步黨","臺東縣","達仁鄉"
"733","",3,"黃裕斌","男",16,"0.65%","無","臺東縣","達仁鄉"
"743","",4,"彭權國","男",9,"0.36%","無","臺東縣","達仁鄉"
"753","◎",5,"饒慶鈴","女",1707,"69.11%","中國國民黨","臺東縣","達仁鄉"
"763","",1,"鄺麗貞","女",207,"9.72%","無","臺東縣","蘭嶼鄉"
"773","",2,"劉櫂豪","男",760,"35.70%","民主進步黨","臺東縣","蘭嶼鄉"
"783","",3,"黃裕斌","男",26,"1.22%","無","臺東縣","蘭嶼鄉"
"793","",4,"彭權國","男",32,"1.50%","無","臺東縣","蘭嶼鄉"
"803","◎",5,"饒慶鈴","女",1104,"51.86%","中國國民黨","臺東縣","蘭嶼鄉"
"1801","",1,"吳蕚洋","男",428,"0.40%","無","臺北市","松山區"
"239","",2,"丁守中","男",46381,"43.36%","中國國民黨","臺北市","松山區"
"330","",3,"姚文智","男",17387,"16.25%","民主進步黨","臺北市","松山區"
"428","◎",4,"柯文哲","男",42356,"39.60%","無","臺北市","松山區"
"527","",5,"李錫錕","男",420,"0.39%","無","臺北市","松山區"
"626","",1,"吳蕚洋","男",502,"0.41%","無","臺北市","信義區"
"726","",2,"丁守中","男",53955,"43.99%","中國國民黨","臺北市","信義區"
"822","",3,"姚文智","男",19934,"16.25%","民主進步黨","臺北市","信義區"
"922","◎",4,"柯文哲","男",47762,"38.94%","無","臺北市","信義區"
"1020","",5,"李錫錕","男",512,"0.42%","無","臺北市","信義區"
"1120","",1,"吳蕚洋","男",585,"0.37%","無","臺北市","大安區"
"1220","",2,"丁守中","男",72325,"45.73%","中國國民黨","臺北市","大安區"
"1320","",3,"姚文智","男",23651,"14.95%","民主進步黨","臺北市","大安區"
"1420","◎",4,"柯文哲","男",60939,"38.53%","無","臺北市","大安區"
"1517","",5,"李錫錕","男",662,"0.42%","無","臺北市","大安區"
"1613","",1,"吳蕚洋","男",476,"0.39%","無","臺北市","中山區"
"1710","",2,"丁守中","男",46746,"38.38%","中國國民黨","臺北市","中山區"
"1891","",3,"姚文智","男",23483,"19.28%","民主進步黨","臺北市","中山區"
"1991","◎",4,"柯文哲","男",50604,"41.55%","無","臺北市","中山區"
"2091","",5,"李錫錕","男",491,"0.40%","無","臺北市","中山區"
"2115","",1,"吳蕚洋","男",370,"0.46%","無","臺北市","中正區"
"2211","",2,"丁守中","男",33897,"41.83%","中國國民黨","臺北市","中正區"
"2310","",3,"姚文智","男",12633,"15.59%","民主進步黨","臺北市","中正區"
"249","◎",4,"柯文哲","男",33752,"41.65%","無","臺北市","中正區"
"259","",5,"李錫錕","男",378,"0.47%","無","臺北市","中正區"
"269","",1,"吳蕚洋","男",266,"0.38%","無","臺北市","大同區"
"278","",2,"丁守中","男",20763,"29.69%","中國國民黨","臺北市","大同區"
"288","",3,"姚文智","男",16896,"24.16%","民主進步黨","臺北市","大同區"
"298","◎",4,"柯文哲","男",31679,"45.29%","無","臺北市","大同區"
"308","",5,"李錫錕","男",339,"0.48%","無","臺北市","大同區"
"3114","",1,"吳蕚洋","男",427,"0.41%","無","臺北市","萬華區"
"3211","",2,"丁守中","男",38666,"37.05%","中國國民黨","臺北市","萬華區"
"338","",3,"姚文智","男",21400,"20.50%","民主進步黨","臺北市","萬華區"
"348","◎",4,"柯文哲","男",43411,"41.59%","無","臺北市","萬華區"
"358","",5,"李錫錕","男",464,"0.44%","無","臺北市","萬華區"
"368","",1,"吳蕚洋","男",707,"0.49%","無","臺北市","文山區"
"377","",2,"丁守中","男",68586,"47.15%","中國國民黨","臺北市","文山區"
"387","",3,"姚文智","男",18985,"13.05%","民主進步黨","臺北市","文山區"
"397","◎",4,"柯文哲","男",56479,"38.83%","無","臺北市","文山區"
"406","",5,"李錫錕","男",713,"0.49%","無","臺北市","文山區"
"4113","",1,"吳蕚洋","男",287,"0.43%","無","臺北市","南港區"
"429","",2,"丁守中","男",26282,"39.45%","中國國民黨","臺北市","南港區"
"435","",3,"姚文智","男",10830,"16.26%","民主進步黨","臺北市","南港區"
"445","◎",4,"柯文哲","男",28896,"43.37%","無","臺北市","南港區"
"455","",5,"李錫錕","男",325,"0.49%","無","臺北市","南港區"
"465","",1,"吳蕚洋","男",548,"0.37%","無","臺北市","內湖區"
"475","",2,"丁守中","男",61566,"41.02%","中國國民黨","臺北市","內湖區"
"485","",3,"姚文智","男",21746,"14.49%","民主進步黨","臺北市","內湖區"
"495","◎",4,"柯文哲","男",65599,"43.70%","無","臺北市","內湖區"
"505","",5,"李錫錕","男",639,"0.43%","無","臺北市","內湖區"
"5112","",1,"吳蕚洋","男",522,"0.34%","無","臺北市","士林區"
"528","",2,"丁守中","男",55954,"36.46%","中國國民黨","臺北市","士林區"
"535","",3,"姚文智","男",33110,"21.57%","民主進步黨","臺北市","士林區"
"545","◎",4,"柯文哲","男",63247,"41.21%","無","臺北市","士林區"
"555","",5,"李錫錕","男",651,"0.42%","無","臺北市","士林區"
"565","",1,"吳蕚洋","男",499,"0.37%","無","臺北市","北投區"
"575","",2,"丁守中","男",52445,"39.08%","中國國民黨","臺北市","北投區"
"585","",3,"姚文智","男",24586,"18.32%","民主進步黨","臺北市","北投區"
"595","◎",4,"柯文哲","男",56096,"41.80%","無","臺北市","北投區"
"605","",5,"李錫錕","男",578,"0.43%","無","臺北市","北投區"
"1781","",1,"李鎔任","男",2182,"2.14%","無","屏東縣","屏東市"
"230","",2,"蘇清泉","男",46320,"45.47%","中國國民黨","屏東縣","屏東市"
"329","◎",3,"潘孟安","男",53370,"52.39%","民主進步黨","屏東縣","屏東市"
"426","",1,"李鎔任","男",623,"2.16%","無","屏東縣","潮州鎮"
"525","",2,"蘇清泉","男",12571,"43.62%","中國國民黨","屏東縣","潮州鎮"
"625","◎",3,"潘孟安","男",15628,"54.22%","民主進步黨","屏東縣","潮州鎮"
"725","",1,"李鎔任","男",575,"2.38%","無","屏東縣","東港鎮"
"820","",2,"蘇清泉","男",11387,"47.04%","中國國民黨","屏東縣","東港鎮"
"920","◎",3,"潘孟安","男",12243,"50.58%","民主進步黨","屏東縣","東港鎮"
"1019","",1,"李鎔任","男",232,"1.40%","無","屏東縣","恆春鎮"
"1119","",2,"蘇清泉","男",6729,"40.55%","中國國民黨","屏東縣","恆春鎮"
"1219","◎",3,"潘孟安","男",9632,"58.05%","民主進步黨","屏東縣","恆春鎮"
"1319","",1,"李鎔任","男",825,"2.84%","無","屏東縣","萬丹鄉"
"1419","",2,"蘇清泉","男",11272,"38.87%","中國國民黨","屏東縣","萬丹鄉"
"1516","◎",3,"潘孟安","男",16905,"58.29%","民主進步黨","屏東縣","萬丹鄉"
"1612","",1,"李鎔任","男",381,"2.20%","無","屏東縣","長治鄉"
"1791","",2,"蘇清泉","男",6939,"40.05%","中國國民黨","屏東縣","長治鄉"
"1881","◎",3,"潘孟安","男",10006,"57.75%","民主進步黨","屏東縣","長治鄉"
"1981","",1,"李鎔任","男",160,"2.25%","無","屏東縣","麟洛鄉"
"2081","",2,"蘇清泉","男",2526,"35.45%","中國國民黨","屏東縣","麟洛鄉"
"2114","◎",3,"潘孟安","男",4440,"62.31%","民主進步黨","屏東縣","麟洛鄉"
"2210","",1,"李鎔任","男",294,"2.22%","無","屏東縣","九如鄉"
"238","",2,"蘇清泉","男",3977,"30.03%","中國國民黨","屏東縣","九如鄉"
"248","◎",3,"潘孟安","男",8972,"67.75%","民主進步黨","屏東縣","九如鄉"
"258","",1,"李鎔任","男",393,"2.54%","無","屏東縣","里港鄉"
"268","",2,"蘇清泉","男",5371,"34.75%","中國國民黨","屏東縣","里港鄉"
"277","◎",3,"潘孟安","男",9692,"62.71%","民主進步黨","屏東縣","里港鄉"
"287","",1,"李鎔任","男",387,"2.43%","無","屏東縣","鹽埔鄉"
"297","",2,"蘇清泉","男",6561,"41.20%","中國國民黨","屏東縣","鹽埔鄉"
"307","◎",3,"潘孟安","男",8977,"56.37%","民主進步黨","屏東縣","鹽埔鄉"
"3113","",1,"李鎔任","男",347,"2.22%","無","屏東縣","高樹鄉"
"3210","",2,"蘇清泉","男",5402,"34.53%","中國國民黨","屏東縣","高樹鄉"
"337","◎",3,"潘孟安","男",9897,"63.26%","民主進步黨","屏東縣","高樹鄉"
"347","",1,"李鎔任","男",198,"1.61%","無","屏東縣","萬巒鄉"
"357","",2,"蘇清泉","男",3866,"31.41%","中國國民黨","屏東縣","萬巒鄉"
"367","◎",3,"潘孟安","男",8245,"66.98%","民主進步黨","屏東縣","萬巒鄉"
"376","",1,"李鎔任","男",539,"1.86%","無","屏東縣","內埔鄉"
"386","",2,"蘇清泉","男",10697,"36.84%","中國國民黨","屏東縣","內埔鄉"
"396","◎",3,"潘孟安","男",17799,"61.30%","民主進步黨","屏東縣","內埔鄉"
"405","",1,"李鎔任","男",216,"1.94%","無","屏東縣","竹田鄉"
"4112","",2,"蘇清泉","男",4040,"36.23%","中國國民黨","屏東縣","竹田鄉"
"427","◎",3,"潘孟安","男",6894,"61.83%","民主進步黨","屏東縣","竹田鄉"
"434","",1,"李鎔任","男",100,"1.55%","無","屏東縣","新埤鄉"
"444","",2,"蘇清泉","男",2663,"41.34%","中國國民黨","屏東縣","新埤鄉"
"454","◎",3,"潘孟安","男",3678,"57.10%","民主進步黨","屏東縣","新埤鄉"
"464","",1,"李鎔任","男",308,"2.03%","無","屏東縣","枋寮鄉"
"474","",2,"蘇清泉","男",7635,"50.44%","中國國民黨","屏東縣","枋寮鄉"
"484","◎",3,"潘孟安","男",7194,"47.53%","民主進步黨","屏東縣","枋寮鄉"
"494","",1,"李鎔任","男",523,"2.52%","無","屏東縣","新園鄉"
"504","",2,"蘇清泉","男",8167,"39.28%","中國國民黨","屏東縣","新園鄉"
"5111","◎",3,"潘孟安","男",12100,"58.20%","民主進步黨","屏東縣","新園鄉"
"526","",1,"李鎔任","男",155,"1.87%","無","屏東縣","崁頂鄉"
"534","",2,"蘇清泉","男",3219,"38.80%","中國國民黨","屏東縣","崁頂鄉"
"544","◎",3,"潘孟安","男",4923,"59.33%","民主進步黨","屏東縣","崁頂鄉"
"554","",1,"李鎔任","男",193,"1.71%","無","屏東縣","林邊鄉"
"564","",2,"蘇清泉","男",4376,"38.84%","中國國民黨","屏東縣","林邊鄉"
"574","◎",3,"潘孟安","男",6699,"59.45%","民主進步黨","屏東縣","林邊鄉"
"584","",1,"李鎔任","男",159,"2.25%","無","屏東縣","南州鄉"
"594","",2,"蘇清泉","男",3024,"42.84%","中國國民黨","屏東縣","南州鄉"
"604","◎",3,"潘孟安","男",3876,"54.91%","民主進步黨","屏東縣","南州鄉"
"6111","",1,"李鎔任","男",165,"1.39%","無","屏東縣","佳冬鄉"
"627","",2,"蘇清泉","男",4432,"37.29%","中國國民黨","屏東縣","佳冬鄉"
"634","◎",3,"潘孟安","男",7288,"61.32%","民主進步黨","屏東縣","佳冬鄉"
"644","",1,"李鎔任","男",116,"1.69%","無","屏東縣","琉球鄉"
"654","",2,"蘇清泉","男",4763,"69.26%","中國國民黨","屏東縣","琉球鄉"
"664","◎",3,"潘孟安","男",1998,"29.05%","民主進步黨","屏東縣","琉球鄉"
"674","",1,"李鎔任","男",74,"1.40%","無","屏東縣","車城鄉"
"684","",2,"蘇清泉","男",1786,"33.67%","中國國民黨","屏東縣","車城鄉"
"694","◎",3,"潘孟安","男",3444,"64.93%","民主進步黨","屏東縣","車城鄉"
"704","",1,"李鎔任","男",89,"1.68%","無","屏東縣","滿州鄉"
"7111","",2,"蘇清泉","男",1994,"37.68%","中國國民黨","屏東縣","滿州鄉"
"727","◎",3,"潘孟安","男",3209,"60.64%","民主進步黨","屏東縣","滿州鄉"
"732","",1,"李鎔任","男",72,"1.85%","無","屏東縣","枋山鄉"
"742","",2,"蘇清泉","男",1385,"35.63%","中國國民黨","屏東縣","枋山鄉"
"752","◎",3,"潘孟安","男",2430,"62.52%","民主進步黨","屏東縣","枋山鄉"
"762","",1,"李鎔任","男",85,"1.65%","無","屏東縣","地門鄉"
"772","",2,"蘇清泉","男",2895,"56.14%","中國國民黨","屏東縣","地門鄉"
"782","◎",3,"潘孟安","男",2177,"42.21%","民主進步黨","屏東縣","地門鄉"
"792","",1,"李鎔任","男",46,"1.85%","無","屏東縣","霧臺鄉"
"802","",2,"蘇清泉","男",1129,"45.34%","中國國民黨","屏東縣","霧臺鄉"
"8111","◎",3,"潘孟安","男",1315,"52.81%","民主進步黨","屏東縣","霧臺鄉"
"824","",1,"李鎔任","男",65,"1.42%","無","屏東縣","瑪家鄉"
"832","",2,"蘇清泉","男",2350,"51.40%","中國國民黨","屏東縣","瑪家鄉"
"842","◎",3,"潘孟安","男",2157,"47.18%","民主進步黨","屏東縣","瑪家鄉"
"852","",1,"李鎔任","男",42,"1.17%","無","屏東縣","泰武鄉"
"862","",2,"蘇清泉","男",1668,"46.62%","中國國民黨","屏東縣","泰武鄉"
"872","◎",3,"潘孟安","男",1868,"52.21%","民主進步黨","屏東縣","泰武鄉"
"882","",1,"李鎔任","男",64,"1.35%","無","屏東縣","來義鄉"
"892","",2,"蘇清泉","男",2673,"56.24%","中國國民黨","屏東縣","來義鄉"
"902","◎",3,"潘孟安","男",2016,"42.42%","民主進步黨","屏東縣","來義鄉"
"9110","",1,"李鎔任","男",71,"2.35%","無","屏東縣","春日鄉"
"924","",2,"蘇清泉","男",1737,"57.38%","中國國民黨","屏東縣","春日鄉"
"932","◎",3,"潘孟安","男",1219,"40.27%","民主進步黨","屏東縣","春日鄉"
"942","",1,"李鎔任","男",72,"2.10%","無","屏東縣","獅子鄉"
"952","",2,"蘇清泉","男",2192,"64.02%","中國國民黨","屏東縣","獅子鄉"
"962","◎",3,"潘孟安","男",1160,"33.88%","民主進步黨","屏東縣","獅子鄉"
"972","",1,"李鎔任","男",68,"2.13%","無","屏東縣","牡丹鄉"
"982","",2,"蘇清泉","男",1772,"55.41%","中國國民黨","屏東縣","牡丹鄉"
